subject,idna_subject,expiration_date,epoch
1safe.link,1safe.link,05-sep-2021,1630800000.0
803mine.com,803mine.com,16-nov-2021,1637020800.0
a-ads.com,a-ads.com,07-jul-2021,1625616000.0
adconity.com,adconity.com,29-jul-2021,1627516800.0
altsbit.com,altsbit.com,26-sep-2021,1632614400.0
antminer-store.com,antminer-store.com,25-aug-2021,1629849600.0
bfgminer.org,bfgminer.org,06-apr-2021,1617667200.0
binance.com,binance.com,01-apr-2021,1617235200.0
bitcoin.org,bitcoin.org,18-aug-2021,1629244800.0
bitfinex.com,bitfinex.com,11-oct-2023,1696982400.0
bithumb.com,bithumb.com,16-jun-2021,1623801600.0
bitmain.com,bitmain.com,17-jul-2024,1721174400.0
bitmaintech.com,bitmaintech.com,03-sep-2022,1662163200.0
bitpay.com,bitpay.com,15-nov-2022,1668470400.0
bixin.im,bixin.im,19-aug-2021,1629331200.0
btc-alpha.com,btc-alpha.com,25-jan-2021,1611532800.0
btcturk.com,btcturk.com,26-sep-2028,1853539200.0
burstpay.io,burstpay.io,02-mar-2021,1614643200.0
cex.io,cex.io,30-jun-2021,1625011200.0
chainradar.com,chainradar.com,22-jul-2021,1626912000.0
coinad.com,coinad.com,28-feb-2021,1614470400.0
coinadnet.com,coinadnet.com,10-oct-2021,1633824000.0
coinbase.com,coinbase.com,02-jul-2024,1719878400.0
coincube.io,coincube.io,21-nov-2021,1637452800.0
coinmama.com,coinmama.com,17-apr-2022,1650153600.0
coinmarketcap.com,coinmarketcap.com,28-apr-2023,1682640000.0
coinminerz.com,coinminerz.com,30-aug-2021,1630281600.0
cointraffic.io,cointraffic.io,18-nov-2023,1700265600.0
coinzilla.io,coinzilla.io,11-sep-2021,1631318400.0
cryptoguiminer.com,cryptoguiminer.com,24-jan-2021,1611446400.0
cryptonaut.org,cryptonaut.org,26-jul-2021,1627257600.0
cryptonotemining.org,cryptonotemining.org,22-jul-2021,1626912000.0
dogeminer.cc,dogeminer.cc,15-feb-2021,1613347200.0
easypc.io,easypc.io,05-jun-2021,1622851200.0
elderhash.com,elderhash.com,20-jan-2021,1611100800.0
electrum.org,electrum.org,07-jun-2021,1623024000.0
emercoin.com,emercoin.com,19-nov-2027,1826582400.0
epic-ticker.tech,epic-ticker.tech,29-sep-2021,1632873600.0
ether.cards,ether.cards,08-aug-2021,1628380800.0
faucethub.io,faucethub.io,06-nov-2021,1636156800.0
forminerpro.com,forminerpro.com,09-jun-2021,1623196800.0
gameofbitcoins.com,gameofbitcoins.com,27-jan-2021,1611705600.0
getmonero.org,getmonero.org,12-jun-2022,1654992000.0
hashcoin.io,hashcoin.io,22-jul-2021,1626912000.0
hashcoins.com,hashcoins.com,11-dec-2021,1639180800.0
hashcoins.ru,hashcoins.ru,11-may-2021,1620691200.0
hashgains.com,hashgains.com,13-jul-2025,1752364800.0
hitbtc.com,hitbtc.com,28-sep-2021,1632787200.0
icerockmining.io,icerockmining.io,14-aug-2021,1628899200.0
jaxx.io,jaxx.io,01-sep-2021,1630454400.0
jwallet.network,jwallet.network,17-aug-2021,1629158400.0
kncminer.com,kncminer.com,03-apr-2021,1617408000.0
ledgerwallet.com,ledgerwallet.com,01-sep-2021,1630454400.0
lightning.network,lightning.network,21-feb-2021,1613865600.0
lightninginabox.co,lightninginabox.co,11-jul-2021,1625961600.0
litecoin.com,litecoin.com,04-oct-2021,1633305600.0
luckybits.io,luckybits.io,14-nov-2021,1636848000.0
masternode-agent.com,masternode-agent.com,05-jun-2021,1622851200.0
masternodes4everyone.com,masternodes4everyone.com,20-feb-2021,1613779200.0
mellowads.com,mellowads.com,03-mar-2021,1614729600.0
miner.hosting,miner.hosting,04-jul-2021,1625356800.0
minerboard.com,minerboard.com,20-oct-2021,1634688000.0
minerstat.com,minerstat.com,20-apr-2028,1839801600.0
monitorig.com,monitorig.com,20-nov-2021,1637366400.0
multipoolminer.io,multipoolminer.io,21-dec-2021,1640044800.0
mycrypto.com,mycrypto.com,26-apr-2027,1808697600.0
myetherwallet.com,myetherwallet.com,19-aug-2023,1692403200.0
mymonero.com,mymonero.com,13-sep-2028,1852416000.0
oracolxor.io,oracolxor.io,18-may-2021,1621296000.0
p2pool.in,p2pool.in,27-aug-2021,1630022400.0
pandaminer.co,pandaminer.co,01-jul-2021,1625097600.0
peerhash.com,peerhash.com,17-aug-2021,1629158400.0
quadrigacx.com,quadrigacx.com,17-sep-2021,1631836800.0
rbminer.net,rbminer.net,29-sep-2021,1632873600.0
ripple.com,ripple.com,12-mar-2022,1647043200.0
rockwall.investments,rockwall.investments,20-jun-2021,1624147200.0
safelinkconverter.com,safelinkconverter.com,17-jun-2021,1623888000.0
shapeshift.io,shapeshift.io,18-feb-2024,1708214400.0
simplemining.net,simplemining.net,01-jul-2024,1719792000.0
superbitcoiner.com,superbitcoiner.com,26-jan-2022,1643155200.0
tradewin.online,tradewin.online,24-sep-2023,1695513600.0
trezor.io,trezor.io,21-jul-2022,1658361600.0
uclick.in,uclick.in,05-aug-2021,1628121600.0
upcoin.com,upcoin.com,11-mar-2021,1615420800.0
vinchain.io,vinchain.io,05-oct-2027,1822694400.0
walletgenerator.net,walletgenerator.net,03-mar-2025,1740960000.0
whattomine.com,whattomine.com,11-apr-2023,1681171200.0
awesomeminer.com,awesomeminer.com,13-jan-2022,1642032000.0
changelly.com,changelly.com,26-dec-2021,1640476800.0
evergreencoin.org,evergreencoin.org,28-dec-2021,1640649600.0
